Scheme Name,Net Asset Value
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1192.1872
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.1649
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2256
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,36.3100
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5100
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.1076
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3498
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,35.9084
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5623
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.0940
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,32.3610
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4673
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ,12.2561
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.2561
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,12.0484
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.0484
Tata Banking & PSU Debt Fund-Direct Plan-Growth,12.2561
Tata Banking & PSU Debt Fund-Regular Plan-Growth,12.0484
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1080.2125
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1069.0415
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1043.3304
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1083.2761
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1018.1586
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1034.0489
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1012.643
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1032.3344
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1071.051
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1012.1293
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1023.8781
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1009.7058
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.5456
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,15.982
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,18.5465
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.307
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.4764
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,13.8037
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,12.4173
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.3064
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.255
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.3662
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.5936
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.3513
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,94.7838
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,93.5909
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.7961
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.3845
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.1768
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.2493
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2330
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.1925
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,13.7760
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3645
Axis Corporate Debt Fund - Direct Plan Growth,14.8300
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2316
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.1895
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,13.1823
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.2449
Axis Corporate Debt Fund - Regular Plan Growth,14.2158
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.8262
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,26.3143
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.0247
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.1175
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,10.9877
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,23.9709
